phone_brand,device_model,price_eur,screen_size,ram_gb,release_month,release_year,camera
samsung,Galaxy S6 Edge+,,,,,,
Ktouch,L920,,,,,,
yougo,:UOOGOUT1,,,,,,
kupo,L8,,,,,,
samsung,Galaxy Grand Max,,,,,,
dowe,倾城L3C,,,,,,
yuxin,小辣椒 M3,,,,,,
lenovo,A2580,,,,,,
Ktouch,t789,,,,,,
lenovo,Vibe Shot,,,,,,
OPPO,U701T,,,,,,
google,Nexus 7,,,,,,
lenovo,S658t,,,,,,
samsung,W2015,,,,,,
vivo,Y622,,,,,,
samsung,2016版 Galaxy A7,,,,,,
HTC,T528w,,,,,,
gionee,V188,,,,,,
coolpad,5218S,,,,,,
coolpad,S6,,,,,,
LG,L70,,,,,,
hisense,X68T,,,,,,
weimi,M3,,,,,,
zte,Q302C,,,,,,
ipair,IPH8,,,,,,
huawei,U8825D,,,,,,
fks,M512,,,,,,
vivo,Y627,,,,,,
hammer,坚果手机,,,,,,
ZUK,Z1,,,,,,
Ktouch,Touch 2C,,,,,,
huawei,P9 Plus,,,,,,
亿通,P2,,,,,,
lenovo,Vibe Z2 Pro,,,,,,
nubia,My 布拉格,,,,,,
huawei,Y635,,,,,,
OPPO,R830,,,,,,
ada,V919,,,,,,
huawei,G521,,,,,,
lenovo,VIBE X,,,,,,
oneplus,Two,,,,,,
xiaomi,xiaomi4C,210.0,5.0,3.0,9.0,2015.0,13.0
gionee,S5.5L,,,,,,
hisense,HS-U978,,,,,,
HTC,One ME,,,,,,
lenovo,A328t,,,,,,
lenovo,A8-50,,,,,,
zte,U960S,,,,,,
samsung,Galaxy Y,,,,,,
yuxin,红辣椒Note,,,,,,
OPPO,R9,,,,,,
nubia,Z9,,,,,,
coolpad,锋尚Pro,,,,,,
huawei,G7 Plus,,,,,,
banghua,TL1000,,,,,,
TCL,P316L,,,,,,
OPPO,Ulike2,,,,,,
samsung,Galaxy Infinite,,,,,,
lenovo,S720i,,,,,,
opsson,IVO 6688,,,,,,
coolpad,8715,,,,,,
OPPO,R820,,,,,,
lenovo,A785e,,,,,,
sony,Xperia T,,,,,,
coolpad,5216D,,,,,,
gionee,E8,,,,,,
OPPO,A51kc,,,,,,
huawei,G628,,,,,,
coolpad,7236,,,,,,
coolpad,8195,,,,,,
yuxin,小辣椒 4,,,,,,
hisense,T820,,,,,,
HTC,One E9,,,,,,
gionee,S5.1Pro,,,,,,
gionee,V183,,,,,,
zte,Blade S6,,,,,,
HTC,X920e,,,,,,
meizu,PRO5,,,,,,
zte,U930,,,,,,
sony,Xperia Z3+ Dual,,,,,,
lenovo,A360e,,,,,,
gionee,GN100,,,,,,
lingyun,小苹果,,,,,,
Ktouch,L820,,,,,,
LG,P970,,,,,,
lenovo,P700,,,,,,
bodao,L9,,,,,,
LG,Optimus G,,,,,,
samsung,Galaxy J5,160.0,5.0,1.5,6.0,2015.0,13.0
hisense,EG939,,,,,,
lenovo,A368t,,,,,,
lenovo,S939,,,,,,
zte,AxonMini,,,,,,
金星数码,T9003,,,,,,
HTC,微客,,,,,,
lshi,Super phone 1s,130.0,5.5,3.0,10.0,2015.0,13.0
dowe,T21,,,,,,
banghua,V95,,,,,,
TCL,P520L,,,,,,
zte,Grand X Quad,,,,,,
samsung,Galaxy Core 2,,,,,,
gionee,S6,,,,,,
hisense,E70-T,,,,,,
Ktouch,Touch V,,,,,,
zte,U880E,,,,,,
LG,G4,,,,,,
广信,S5Q,,,,,,
lenovo,K80,,,,,,
huawei,honorplay平板T1,,,,,,
HTC,One M9,,,,,,
lenovo,VIBE P1,,,,,,
greeno,voga v1,,,,,,
51cube,H3,,,,,,
yuxin,红辣椒XM,,,,,,
lenovo,A656,,,,,,
koobee,TALK 9X,,,,,,
coolpad,5890,,,,,,
huawei,畅享5,,,,,,
gionee,GN152,,,,,,
OPPO,U701,,,,,,
至尊宝,LT988,,,,,,
lenovo,A3900,,,,,,
samsung,Galaxy Tab 4 T331C,,,,,,
smallt,MM1103,,,,,,
百立丰,T2,,,,,,
lenovo,VIBE Z2,,,,,,
samsung,samsungbig foot,,,,,,
fks,M535,,,,,,
dowe,L1,,,,,,
samsung,G3819D,,,,,,
coolpad,5360,,,,,,
vivo,E1T,,,,,,
诺亚信,M8,,,,,,
xiaomi,MI 1,380.0,4.0,1.0,1.0,2012.0,8.0
oneplus,X,,,,,,
vivo,V1,,,,,,
lenovo,P770,,,,,,
lenovo,A369,,,,,,
coolpad,5261,,,,,,
hisense,EG978,,,,,,
huawei,MediaPad M2-803L,,,,,,
coolpad,8712,,,,,,
aiyouni,i1,,,,,,
samsung,领世旗舰3,,,,,,
zte,N909,,,,,,
zte,Blade A1,,,,,,
lenovo,A590,,,,,,
OPPO,A53,,,,,,
huawei,畅享5S,,,,,,
zte,小鲜2,,,,,,
TCL,idol3,,,,,,
vivo,X6 Plus D,,,,,,
欧奇,G5,,,,,,
gionee,GN128,,,,,,
51cube,S5,,,,,,
贝尔丰,T12,,,,,,
lenovo,A2860,,,,,,
lenovo,黄金斗士青春版,,,,,,
coolpad,8029,,,,,,
weimi,P8,,,,,,
samsung,Galaxy J3,,,,,,
samsung,Galaxy On7,,,,,,
coolpad,锋尚Max,,,,,,
vivo,X6,,,,,,
yuxin,红辣椒NX Plus,,,,,,
samsung,Galaxy Tab Pro T321,,,,,,
dowe,倾城L3,,,,,,
OPPO,3005,,,,,,
MIL,T004,,,,,,
coolpad,7251,,,,,,
zte,Axon天机,,,,,,
OPPO,R850,,,,,,
vivo,X6 Plus,,,,,,
vivo,X6 L,,,,,,
贝尔丰,BF A500,,,,,,
斐讯,C730Lw,,,,,,
konka,L823,,,,,,
banghua,U7,,,,,,
greeno,N2,,,,,,
konka,V931,,,,,,
dowe,L5Pro,,,,,,
HTC,Sensation Z710E,,,,,,
TCL,P318L,,,,,,
samsung,Galaxy A3,,,,,,
zte,小鲜3,,,,,,
zte,小星星,,,,,,
samsung,2016版 Galaxy A5,,,,,,
lenovo,A3300-T,,,,,,
huawei,麦芒3S,,,,,,
kupo,L168,,,,,,
gionee,M5 Plus,,,,,,
asus,ZenFone Max,,,,,,
coolpad,8122,,,,,,
LG,VS980,,,,,,
nubia,Z9 mini 精英版,,,,,,
huawei,Y325,,,,,,
hammer,T2,,,,,,
lenovo,A560,,,,,,
51cube,S6,,,,,,
优语,KDOOR X5-Y12,,,,,,
zte,Q519T,,,,,,
gionee,天鉴W900S,,,,,,
HTC,Desire S,,,,,,
lenovo,P700i,,,,,,
samsung,Galaxy Note 10.1 2014 Edition P601,,,,,,
samsung,Galaxy S DUOS,,,,,,
lenovo,A355e,,,,,,
xiaomi,MI 4S,,,,,,
coolpad,ivvi 小骨Pro,,,,,,
OPPO,A30,,,,,,
HTC,One A9,,,,,,
LG,Optimus LTE,,,,,,
banghua,TL500,,,,,,
samsung,Galaxy Tab 3 10.1,,,,,,
coolpad,8722,,,,,,
LG,Optimus G Pro 2,,,,,,
sony,Xperia Z5 Premium,,,,,,
Lovme,T9,,,,,,
斐讯,C630Lw,,,,,,
lenovo,K900,,,,,,
白米,BM001,,,,,,
lenovo,A398t,,,,,,
zte,U879,,,,,,
TCL,idol X,,,,,,
samsung,Galaxy Mini,,,,,,
lenovo,S5000,,,,,,
zte,V889M,,,,,,
51cube,A690,,,,,,
zte,U808,,,,,,
lenovo,A68e,,,,,,
dowe,D800,,,,,,
gionee,ELIFE E7 Mini,,,,,,
moto,Moto G,,,,,,
OPPO,R801,,,,,,
coolpad,8295c,,,,,,
hisense,U966,,,,,,
huawei,Ascend D2,,,,,,
Ktouch,T780+,,,,,,
nokia,X,,,,,,
Ktouch,W619,,,,,,
亿通,P1,,,,,,
samsung,Galaxy J,,,,,,
samsung,SM-T2558,,,,,,
gionee,GN106,,,,,,
lenovo,TAB 2 A7-30,,,,,,
zte,Q501U,,,,,,
百加,V6,,,,,,
coolpad,5219,,,,,,
HTC,T528d,,,,,,
zte,U880F1,,,,,,
samsung,GT-N8000,,,,,,
coolpad,5872,,,,,,
koobee,U55GT,,,,,,
huawei,Y321C,,,,,,
HTC,Desire 7088,,,,,,
zte,N880F,,,,,,
lenovo,A278t,,,,,,
TCL,J320T,,,,,,
samsung,Galaxy S2 Plus,,,,,,
hisense,EG936D,,,,,,
HTC,Desire D516t,,,,,,
hisense,T929,,,,,,
samsung,I8250,,,,,,
TCL,P331M,,,,,,
zte,N919,,,,,,
meitu,M2,,,,,,
zte,Grand X,,,,,,
huawei,G615-U10,,,,,,
zte,V818,,,,,,
lenovo,A338t,,,,,,
zte,N881F,,,,,,
huawei,Ascend P1,,,,,,
coolpad,5860A,,,,,,
samsung,Galaxy Core,,,,,,
gionee,GN180,,,,,,
lenovo,A516,,,,,,
coolpad,5316,,,,,,
samsung,Galaxy S7 Edge,,,,,,
zte,U793,,,,,,
gionee,GN305,,,,,,
ouxin,V70,,,,,,
coolpad,5930,,,,,,
banghua,V70,,,,,,
panasonic,L855,,,,,,
OPPO,R9 Plus,,,,,,
bodao,LT01,,,,,,
heymi,A5,,,,,,
bodao,T9600,,,,,,
xiangmi,X8888,,,,,,
bodao,L108,,,,,,
samsung,W999,,,,,,
gionee,风华3,,,,,,
bodao,T9500,,,,,,
zte,U819,,,,,,
weitu,VT888,,,,,,
宝捷讯,JX8166,,,,,,
zte,V956,,,,,,
lenovo,S90-u,,,,,,
TCL,ono,,,,,,
Ktouch,V8,,,,,,
lenovo,A300t,,,,,,
果米,A7,,,,,,
samsung,I779,,,,,,
huawei,G730-C00,,,,,,
coolpad,8717,,,,,,
coolpad,9976D,,,,,,
HTC,Desire D316d,,,,,,
lenovo,A805e,,,,,,
TCL,P306C,,,,,,
首云,P1,,,,,,
至尊宝,LT416,,,,,,
zte,Q201T,,,,,,
TCL,么么哒3S,,,,,,
samsung,S5300,,,,,,
coolpad,8085q,,,,,,
lenovo,A690,,,,,,
samsung,大器3,,,,,,
zte,U960E,,,,,,
yuxin,小辣椒 5,,,,,,
HTC,Desire V,,,,,,
lenovo,A380t,,,,,,
gionee,天鉴W808,,,,,,
gionee,GN700W,,,,,,
TCL,P500M,,,,,,
meizu,M9,,,,,,
51cube,H1S,,,,,,
samsung,Galaxy Alpha,,,,,,
samsung,Galaxy K Zoom,,,,,,
gionee,M3,,,,,,
瑞米,X7,,,,,,
HTC,Desire HD,,,,,,
gionee,GN800,,,,,,
Ktouch,Touch 3c,,,,,,
hisense,E602M,,,,,,
51cube,H2,,,,,,
hisense,E613M,,,,,,
gionee,X817,,,,,,
瑞高,78P01,,,,,,
dowe,T20L,,,,,,
lenovo,A588t,,,,,,
samsung,Galaxy Grand 2 LTE,,,,,,
asus,K012,,,,,,
Ktouch,T619,,,,,,
亿通,P3,,,,,,
bodao,LT02,,,,,,
hisense,I635T,,,,,,
dowe,L5 Plus,,,,,,
zte,威武3,,,,,,
nokia,X2,,,,,,
lenovo,A750,,,,,,
果米,M6,,,,,,
samsung,Nexus S,,,,,,
51cube,M1L,,,,,,
coolpad,大观铂顿,,,,,,
gionee,天鉴W900,,,,,,
hisense,U8,,,,,,
zte,G717C,,,,,,
SUGAR,2C,,,,,,
mige,M201S,,,,,,
台电,X80HD,,,,,,
LG,P705,,,,,,
dowe,T90,,,,,,
lenovo,S560,,,,,,
vivo,Y937,,,,,,
TCL,P335M,,,,,,
hisense,M20-M,,,,,,
coolpad,8721,,,,,,
samsung,SM-T2556,,,,,,
sony,Xperia J,,,,,,
coolpad,8085n,,,,,,
gionee,M3S,,,,,,
samsung,Galaxy S Plus,,,,,,
coolpad,S6-NT1,,,,,,
haier,HT-I860,,,,,,
lenovo,A3600d,,,,,,
coolpad,5956,,,,,,
weitu,GT7,,,,,,
台电,X98 3G,,,,,,
yuxin,小辣椒 6,,,,,,
Lovme,T5,,,,,,
lenovo,黄金斗士S8play edition,,,,,,
bodao,Doeasy E700,,,,,,
lenovo,A606,,,,,,
huawei,G630,,,,,,
zte,Q801L,,,,,,
samsung,GT-I8160,,,,,,
yuxin,小辣椒 X3,,,,,,
lenovo,A3890,,,,,,
lenovo,S860e,,,,,,
lenovo,K860,,,,,,
百立丰,T708,,,,,,
丰米,P8,,,,,,
亿通,T890,,,,,,
lenovo,S686,,,,,,
gionee,金钢,,,,,,
贝尔丰,BF T18,,,,,,
huawei,Y618-T00,,,,,,
huawei,G629,,,,,,
hisense,G610M,,,,,,
samsung,Galaxy Tab P7500,,,,,,
vivo,Y623,,,,,,
bodao,L100,,,,,,
hisense,金刚II,,,,,,
meizu,blue charmNote3,,,,,,
HTC,Desire 310,,,,,,
Ktouch,T619+,,,,,,
gionee,F105,,,,,,
lenovo,A399,,,,,,
OPPO,R830S,,,,,,
唯比,X5,,,,,,
ccmc,N1 max,,,,,,
zte,Blade S6 Lux,,,,,,
konka,D557,,,,,,
kupo,L7,,,,,,
huawei,Hol-U10,,,,,,
coolpad,7060,,,,,,
lenovo,A580,,,,,,
konka,R2,,,,,,
coolpad,7296S,,,,,,
zte,zte远航3,,,,,,
gionee,GN5001S,,,,,,
斐讯,C230w,,,,,,
zte,Q509T,,,,,,
Ktouch,L810,,,,,,
长虹,C03,,,,,,
欧奇,OKA51,,,,,,
lenovo,lenovoVIBE X2,,,,,,
lenovo,A385e,,,,,,
vivo,Y31,,,,,,
sony,Xperia Neo,,,,,,
samsung,Galaxy Tab 2 P5100,,,,,,
vivo,X1S,,,,,,
zte,N880E,,,,,,
OPPO,R805,,,,,,
huawei,MediaPad 10 Link,,,,,,
yuxin,T50,,,,,,
samsung,Galaxy Core Advance,,,,,,
大Q,雷霆战机,,,,,,
zte,U9815,,,,,,
lenovo,S930,,,,,,
moto,XT928,,,,,,
Lovme,X18,,,,,,
moto,XT910,,,,,,
hisense,EG980,,,,,,
mige,210R,,,,,,
Ktouch,U86,,,,,,
lenovo,A630e,,,,,,
coolpad,旋影90w,,,,,,
zte,Q501T,,,,,,
huawei,Y310-T10,,,,,,
gionee,天鉴T1,,,,,,
huawei,Y310-5000,,,,,,
sony,Xperia Z3 mini,,,,,,
vivo,S6T,,,,,,
鲜米,s800,,,,,,
smallt,MM1104,,,,,,
gionee,GN108,,,,,,
coolpad,5200S,,,,,,
先锋,K88L,,,,,,
banghua,U1,,,,,,
epai,Z4,,,,,,
亿通,I7,,,,,,
coolpad,8076,,,,,,
huawei,P9,,,,,,
coolpad,5311,,,,,,
lenovo,A380e,,,,,,
ada,V819 3G,,,,,,
Ktouch,L930i,,,,,,
vivo,S3,,,,,,
sony,Xperia M2,,,,,,
zte,Q805T,,,,,,
lenovo,A65,,,,,,
Ktouch,L820c,,,,,,
koobee,U25GT,,,,,,
samsung,Galaxy Trend,,,,,,
Ktouch,U81t,,,,,,
haier,HT-I857,,,,,,
zte,Q705U,,,,,,
moto,Razr V锋芒,,,,,,
Lovme,T6,,,,,,
moto,Moto X Pro,,,,,,
zte,U968,,,,,,
coolpad,8295,,,,,,
huawei,C8650,,,,,,
opsson,IVO 6666,,,,,,
moto,DROID RAZR,,,,,,
samsung,I8258,,,,,,
sony,Xperia ZR,230.0,4.55,2.0,6.0,2013.0,13.0
hisense,I630M,,,,,,
亿通,D500,,,,,,
lenovo,IdeaTab A1010-T,,,,,,
zte,青漾3,,,,,,
nubia,Z7,,,,,,
coolpad,7260,,,,,,
sony,Xperia ray,,,,,,
gionee,GN9004,,,,,,
huawei,S8-303L,,,,,,
恒宇丰,9300-M9,,,,,,
coolpad,5876,,,,,,
nokia,N1,,,,,,
hisense,E260-T,,,,,,
huawei,C8812+,,,,,,
亿通,D520,,,,,,
coolpad,8021,,,,,,
dowe,D360,,,,,,
yuxin,小辣椒 3,,,,,,
lenovo,A698t,,,,,,
konka,V983,,,,,,
moto,XT1060,,,,,,
meizu,M031,,,,,,
huawei,G730-U30,,,,,,
虾米,X6,,,,,,
coolpad,Y70-C,,,,,,
zte,DM,,,,,,
kupo,L128,,,,,,
hisense,I639T,,,,,,
lenovo,PHAB Plus,,,,,,
huawei,MediaPad M2-801W,,,,,,
samsung,Galaxy Tab 3 Lite T110,,,,,,
coolpad,8105,,,,,,
huawei,Sonic+,,,,,,
LG,V10,,,,,,
TCL,P302C,,,,,,
huawei,Nexus 6P,,,,,,
coolpad,7605,,,,,,
coolpad,7105,,,,,,
zte,远航3,,,,,,
OPPO,T703,,,,,,
TCL,P332U,,,,,,
ada,V701s Core4,,,,,,
konka,K23,,,,,,
xiaomi,MI pad 2,,,,,,
konka,R1,,,,,,
TCL,P502U,,,,,,
lenovo,A366t,,,,,,
凯利通,T9,,,,,,
yuxin,小辣椒 7,,,,,,
Ktouch,W700,,,,,,
至尊宝,L82,,,,,,
lenovo,Tab2A7-20F,,,,,,
青葱,metal 标准版,,,,,,
zte,Q507T,,,,,,
ccmc,M701,,,,,,
奥克斯,V965T,,,,,,
coolpad,8736,,,,,,
蓝魔,R9,,,,,,
LG,F320L,,,,,,
蓝魔,Mos1,,,,,,
lenovo,S8-50,,,,,,
asus,ME7510KG,,,,,,
samsung,W2016,,,,,,
Ktouch,W88,,,,,,
huawei,Ascend G330C,,,,,,
konka,V981,,,,,,
白米,BM002,,,,,,
HTC,One X9,,,,,,
OPPO,3000,,,,,,
zte,醉享,,,,,,
51cube,MAX3,,,,,,
智镁,EV5,,,,,,
zte,威武3C,,,,,,
dowe,L5 mini,,,,,,
lenovo,lemon K31,,,,,,
欧奇,OKU3,,,,,,
gionee,GN705,,,,,,
HTC,T328d,,,,,,
lenovo,YOGA Tablet B8000,,,,,,
长虹,A100,,,,,,
lenovo,A358t,,,,,,
Ktouch,V9,,,,,,
先锋,K68w,,,,,,
zte,U809,,,,,,
zte,N919D,,,,,,
51cube,S7,,,,,,
飞利浦,W6618,,,,,,
Ktouch,C986t+,,,,,,
coolpad,5879,,,,,,
hisense,E913,,,,,,
长虹,N1,,,,,,
HTC,T328t,,,,,,
lenovo,A376,,,,,,
asus,ZenFone Selfie,,,,,,
lenovo,A356,,,,,,
nibilu,火星一号探索版,,,,,,
TCL,P596,,,,,,
dowe,T60,,,,,,
TCL,S838M,,,,,,
长虹,Z9,,,,,,
lenovo,IdeaTab A1000-T,,,,,,
诺亚信,M15,,,,,,
huawei,G309T,,,,,,
Ktouch,E99,,,,,,
xiangmi,X6088,,,,,,
lenovo,A520,,,,,,
huawei,MediaPad M1,,,,,,
nubia,X6,,,,,,
lenovo,A7-30,,,,,,
samsung,Galaxy Tab 4 T231,,,,,,
dowe,S2L,,,,,,
Ktouch,T60,,,,,,
lenovo,A780e,,,,,,
lenovo,A500,,,,,,
亿通,P51,,,,,,
coolpad,5310,,,,,,
moto,Moto X Style,,,,,,
samsung,S5831I,,,,,,
coolpad,7275,,,,,,
TCL,P501M,,,,,,
TCL,P518L,,,,,,
moto,DROID RAZR M,,,,,,
bodao,I900,,,,,,
zte,U880S,,,,,,
asus,飞马3,,,,,,
lenovo,A330e,,,,,,
coolpad,7061,,,,,,
kiwu,BM002-G5,,,,,,
TCL,P360W,,,,,,
亿通,P21,,,,,,
lenovo,VIBE X2 Pro,,,,,,
hisense,E968,,,,,,
meitu,V4,,,,,,
huawei,Y523-L176,,,,,,
coolpad,5263S,,,,,,
huawei,honor平板T1-823L,,,,,,
samsung,Galaxy Ace 4,,,,,,
moto,Moto X 3,,,,,,
yuxin,小辣椒X4,,,,,,
moto,Moto X极,,,,,,
yuxin,小辣椒 9,,,,,,
zte,V880,,,,,,
bodao,i600,,,,,,
lenovo,A395e,,,,,,
西门子,Gigaset ME,,,,,,
lenovo,YOGA Tablet B6000,,,,,,
huawei,Ascend D1,,,,,,
epai,T7,,,,,,
lenovo,A375e,,,,,,
samsung,Galaxy Tab P1000,,,,,,
vivo,E1,,,,,,
Ktouch,C666t,,,,,,
TCL,302U,,,,,,
Ktouch,C986t,,,,,,
OPPO,Find 3,,,,,,
vivo,E3,,,,,,
虾米,Z5,,,,,,
zte,U960,,,,,,
huawei,G620-L72,,,,,,
诺亚信,T918,,,,,,
hisense,EG929,,,,,,
lenovo,A288t,,,,,,
惠普,Compaq 7,,,,,,
hisense,U936,,,,,,
lenovo,a218t,,,,,,
samsung,I699I,,,,,,
konka,V923,,,,,,
hisense,E956Q,,,,,,
epai,S300,,,,,,
hisense,E622M,,,,,,
zte,Q7,,,,,,
lenovo,A3500,,,,,,
台电,X80h,,,,,,
lenovo,B8080-F,,,,,,
HTC,Desire 616,,,,,,
本为,V5,,,,,,
HTC,One M9+,,,,,,
白米,BM003,,,,,,
lenovo,A780,,,,,,
opsson,D1,,,,,,
yuxin,小辣椒S1,,,,,,
opsson,Q3C,,,,,,
亿通,P305,,,,,,
51cube,M100,,,,,,
广信,F1,,,,,,
desci,魔镜 X5,,,,,,
samsung,Galaxy S7,,,,,,
coolpad,5313S,,,,,,
moto,Moto Turbo,,,,,,
yuxin,红辣椒Note3,,,,,,
vivo,Xplay5,520.0,5.43,4.0,3.0,2016.0,16.0
HTC,Desire 816x,,,,,,
lenovo,S668t,,,,,,
Ktouch,W700+,,,,,,
广信,S5,,,,,,
coolpad,5200,,,,,,
LG,F240S,,,,,,
hisense,T928,,,,,,
lenovo,A1020,,,,,,
亿通,T860,,,,,,
hisense,U970,,,,,,
bodao,T9108,,,,,,
lenovo,A396,,,,,,
lenovo,S90-e,,,,,,
亿通,T3,,,,,,
lenovo,IdeaTab A2207A-H,,,,,,
samsung,Galaxy Tab P6800,,,,,,
贝尔丰,T13,,,,,,
wpf,S1,,,,,,
欧沃,Q7,,,,,,
nibilu,土星一号,,,,,,
lenovo,S870e,,,,,,
hisense,小章鱼,,,,,,
huawei,Y600D,,,,,,
Ktouch,E8,,,,,,
至尊宝,L81,,,,,,
samsung,Galaxy S,,,,,,
hisense,E602T,,,,,,
欧乐迪,Z1988,,,,,,
haier,L700T,,,,,,
台电,X98 Air 3G,,,,,,
yuxin,红辣椒 X1,,,,,,
HTC,603e,,,,,,
PPTV,King 7,,,,,,
长虹,T03锋至版,,,,,,
samsung,SM-T705C,,,,,,
OPPO,Find,,,,,,
51cube,H5,,,,,,
HTC,野火S,,,,,,
PPTV,King 7s,,,,,,
hisense,D2-M,,,,,,
banghua,U11,,,,,,
赛博宇华,SOP M3,,,,,,
51cube,H7,,,,,,
ada,V719,,,,,,
epai,大Q Note,,,,,,
Ktouch,T621,,,,,,
zte,U969,,,,,,
zte,N798+,,,,,,
samsung,Galaxy S4 Active,,,,,,
蓝魔,i9,,,,,,
coolpad,7230,,,,,,
coolpad,8012,,,,,,
samsung,Galaxy J1,,,,,,
huawei,Y320C,,,,,,
lenovo,A505e,,,,,,
micky,M228-M51,,,,,,
konka,L810,,,,,,
samsung,2016版 Galaxy J7,,,,,,
moto,XT615,,,,,,
banghua,I6,,,,,,
samsung,Galaxy S DUOS 2,,,,,,
lenovo,A765e,,,,,,
huawei,T8620,,,,,,
lenovo,乐檬3,,,,,,
samsung,Galaxy S2 Epic 4G Touch,,,,,,
moto,Droid Ultra,,,,,,
欧奇,T89-2,,,,,,
Ktouch,K1,,,,,,
E人E本,T9,,,,,,
huawei,m310,,,,,,
samsung,N910U,,,,,,
飞利浦,V526,,,,,,
huawei,Y3100,,,,,,
大显,7i,,,,,,
hisense,E75T,,,,,,
51cube,H6,,,,,,
TCL,乐玩2C,,,,,,
lenovo,乐檬X3,,,,,,
coolpad,8712S,,,,,,
asus,飞马2 Plus,,,,,,
samsung,SM-T325,,,,,,
samsung,Galaxy Tab S T705,,,,,,
opsson,IVO 8800,,,,,,
zte,Grand Era,,,,,,
bodao,T9508,,,,,,
帷幄,X5,,,,,,
gionee,GN168t,,,,,,
世纪星,T5,,,,,,
lenovo,Tab2 A7-10F,,,,,,
ada,V975s Core4,,,,,,
koobee,U59GT,,,,,,
lenovo,S660,,,,,,
亿通,I95,,,,,,
lenovo,A60+,,,,,,
coolpad,8060,,,,,,
candy,T200,,,,,,
51cube,MUSE,,,,,,
lenovo,lenovoS870e,,,,,,
Ktouch,E619,,,,,,
yuxin,T55,,,,,,
HTC,One M9e,,,,,,
lenovo,S856,,,,,,
lenovo,A269,,,,,,
coolpad,锋尚Air,,,,,,
lenovo,S8-50LC,,,,,,
konka,K35,,,,,,
先锋,G71,,,,,,
asus,K016,,,,,,
fks,M560,,,,,,
coolpad,ivvi S6,,,,,,
亿通,T730,,,,,,
德卡诺,L6,,,,,,
亿通,T730D,,,,,,
TCL,P688L,,,,,,
TCL,P350M,,,,,,
HTC,Desire 510,,,,,,
banghua,A5,,,,,,
zte,U807N,,,,,,
coolpad,9150,,,,,,
hisense,E100T,,,,,,
鲜米,S970,,,,,,
hisense,E625T,,,,,,
ZOYE,V18,,,,,,
banghua,V95 Pro,,,,,,
coolpad,全魔王手机,,,,,,
hisense,VIDAA_TV,,,,,,
lenovo,设备品类为：平板,,,,,,
TCL,P589L,,,,,,
长虹,X6,,,,,,
百立丰,百利丰 W2,,,,,,
51cube,S100,,,,,,
qiku,F4,,,,,,
samsung,Galaxy Note 10.1 N8010,,,,,,
zte,U790,,,,,,
zte,Axon天机 Max,,,,,,
lenovo,A600e,,,,,,
宏碁,Iconia A1-810,,,,,,
xiangmi,X9999,,,,,,
戴尔,Venue 7,,,,,,
lshi,超级手机Max Pro,,,,,,
lenovo,A790e,,,,,,
嘉源,A3,,,,,,
sony,Xperia Z3 Compact,,,,,,
hisense,I632T,,,,,,
samsung,W789,,,,,,
asus,T00P,,,,,,
samsung,Galaxy S5 Plus,,,,,,
samsung,Galaxy Tab A 8.0,,,,,,
opsson,IUSAI US15,,,,,,
虾米,M4S,,,,,,
欧乐酷,U11,,,,,,
coolpad,7060S,,,,,,
huawei,MediaPad 10 FHD,,,,,,
lenovo,P1c58,,,,,,
coolpad,锋尚mini,,,,,,
samsung,Galaxy Tab P7510,,,,,,
huawei,8800,,,,,,
konka,V927,,,,,,
huawei,Y210-2010,,,,,,
HTC,Desire 610,,,,,,
hisense,HS-U971,,,,,,
zte,大Q,,,,,,
碟米,V015-M66,,,,,,
lenovo,TAB A10-80,,,,,,
天宏时代,CYM1,,,,,,
奥克斯,i6L,,,,,,
samsung,Galaxy Tab Pro T320,,,,,,
vivo,V2,,,,,,
huawei,Y535D,,,,,,
欧奇,OKA31,,,,,,
dowe,L6,,,,,,
贝尔丰,BF T18 Plus,,,,,,
LG,Nexus 5X,,,,,,
nibilu,木星一号,,,,,,
asus,ME173X,,,,,,
lenovo,PHAB,,,,,,
长虹,X5,,,,,,
hisense,T959S1,,,,,,
世纪天元,F8909,,,,,,
zte,N798,,,,,,
亿通,T701,,,,,,
banghua,V2,,,,,,
huawei,Y220-T10,,,,,,
coolpad,5315,,,,,,
nubia,Z5,,,,,,
samsung,Galaxy Core Plus,,,,,,
konka,L3,,,,,,
lenovo,A7600-F,,,,,,
Lovme,T11,,,,,,
yuxin,T22,,,,,,
zte,N900,,,,,,
coolpad,8150D,,,,,,
Ktouch,小黄蜂2,,,,,,
百立丰,T5,,,,,,
长虹,T11,,,,,,
koobee,TALK 7X八核,,,,,,
xiangmi,X5566,,,,,,
欧奇,G10,,,,,,
TCL,P516L,,,,,,
lenovo,IdeaTab 2109A,,,,,,
huawei,M311,,,,,,
yuxin,小辣椒5 Pro,,,,,,
asus,ASUS_Z00XSB,,,,,,
yuxin,小辣椒X5,,,,,,
sony,Xperia neo L,,,,,,
Ktouch,E619+,,,,,,
sony,Xperia V,,,,,,
极米,Z3D 梦想板,,,,,,
huawei,honorV8,,,,,,
xiangmi,X9988,,,,,,
LG,G Pro Lite Dual,,,,,,
huawei,MediaPad 10 Link+?,,,,,,
zte,天机3,,,,,,
LG,G2 Mini,,,,,,
Ktouch,T85+,,,,,,
原点,Yuandian II,,,,,,
banghua,V100,,,,,,
lenovo,lenovoX2-AP,,,,,,
戴尔,Venue 8 3830,,,,,,
lenovo,S860,,,,,,
